단품코드,항만_재고,부평_재고,내부창고_합계
SPRSG37KU259160,30,0,30
SPRWF24KU150120,12,0,12
SPRWF24KU176160,2,0,2
SPRWG24G0129085,104,16,120
SPRWG24G0139090,4,0,4
SPRWG24G0159090,90,8,98
SPRWG24G0159095,14,2,16
SPRWG24KU110140,2,12,14
SPRWG25C0210105,30,0,30
SPRWG25C0519100,122,0,122
SPRWG25C0539090,2,0,2
SPRWG25C0549095,2,2,4
SPRWG25C0549105,4,0,4
SPRWG25C6119095,52,0,52
SPRWG25C6159090,134,0,134
SPRWG25G0110095,2,24,26
SPRWG25G0210090,2,0,2
SPRWG25G0351085,172,6,178
SPRWG25G0351090,78,6,84
SPRWG25G0385085,54,0,54
SPRWG25G0559085,2,0,2
SPRWG25G0619095,2,0,2
SPRWG25G06AC085,374,2,376
SPRWG25G06AC090,228,0,228
SPRWG25G0739095,64,0,64
SPRWG37C0510100,490,138,628
SPRWG37C0510105,124,212,336
SPRWG37C0510110,54,190,244
SPRWG37C0519095,60,2,62
SPRWG37C0519105,128,14,142
SPRWG37C0519110,182,12,194
SPRWG37C0584095,140,74,214
SPRWG37C0584100,70,220,290
SPRWG37C0584105,72,166,238
SPRWG37C0584110,46,112,158
SPRWG37C0619095,48,0,48
SPRWG37C0619100,140,0,140
SPRWG37C0619105,206,0,206
SPRWG37C0639095,106,0,106
SPRWG37C0639100,268,0,268
SPRWG37C0639105,144,0,144
SPRWG37C1020090,28,0,28
SPRWG37C1020095,24,0,24
SPRWG37C1020100,26,0,26
SPRWG37C1030090,82,0,82
SPRWG37C1030095,138,0,138
SPRWG37C1030100,102,0,102
SPRWG37C1030105,42,0,42
SPRWG37C1050090,50,0,50
SPRWG37C1050095,174,0,174
SPRWG37C1050100,376,0,376
SPRWG37C1050105,236,0,236
SPRWG37C1084090,88,0,88
SPRWG37C1084095,100,0,100
SPRWG37C1084100,60,0,60
SPRWG37C1084105,48,0,48
SPRWG37G0119095,6,0,6
SPRWG37G0129085,2,10,12
SPRWG37G0210085,222,2,224
SPRWG37G0210090,124,0,124
SPRWG37G0210095,58,0,58
SPRWG37G0235095,28,0,28
SPRWG37G1103085,4,0,4
SPRWG37G1103095,2,0,2
SPRWG37G1129085,844,28,872
SPRWG37G1129090,306,0,306
SPRWG37G1129095,422,0,422
SPRWG37G1139085,2,18,20
SPRWG37G1219090,38,2,40
SPRWG37G3060085,2,52,54
SPRWG37G3060090,4,70,74
SPRWG37G3085090,2,54,56
SPRWG37G3139085,412,2,414
SPRWG37G3139090,198,0,198
SPRWG37G3139095,186,0,186
SPRWG37G3185085,62,0,62
SPRWG37G3185090,62,0,62
SPRWG37G3185095,30,0,30
SPRWG37G3219090,8,0,8
SPRWG37G3264085,12,0,12
SPRWG37G3310085,378,0,378
SPRWG37G3310090,418,0,418
SPRWG37G3310095,160,0,160
SPRWG37G3319085,382,0,382
SPRWG37G3319090,582,0,582
SPRWG37G3319095,306,0,306
SPRWG37G33AA095,2,0,2
SPRWG37G3419085,162,0,162
SPRWG37G3419090,132,0,132
SPRWG37G3419095,22,0,22
SPRWG37G3459085,26,0,26
SPRWG37G3459090,90,0,90
SPRWG37G3459095,46,0,46
SPRWG37G3539085,106,0,106
SPRWG37G3539090,100,0,100
SPRWG37G3539095,94,0,94
SPRWG37G3552090,4,0,4
SPRWG37G5019085,96,0,96
SPRWG37G5019090,142,0,142
SPRWG37G5039085,2,0,2
SPRWG37G5039090,136,0,136
SPRWG37G5051085,36,0,36
SPRWG37G5051090,48,0,48
SPRWG37G50AC090,30,0,30
SPRWG37G8115999,10,2,12
SPRWG37G8225999,14,2,16
SPRWG37G8639085,88,0,88
SPRWG37G8651085,150,180,330
SPRWG37G8660085,108,224,332
SPRWG37G8699085,6,152,158
SPRWG37G9819085,76,0,76
SPRWG37G9819090,78,0,78
SPRWG37G9839085,76,0,76
SPRWG37G9839090,78,0,78
SPRWG37G9899085,76,0,76
SPRWG37G9899090,76,0,76
SPRWG37M0210100,50,0,50
SPRWG37M0236095,408,0,408
SPRWG37M0236100,496,0,496
SPRWG37M0236105,396,0,396
SPRWG37M0236110,282,0,282
SPRWG37M0260100,110,0,110
SPRWG37M0260110,20,0,20
SPRWG37WS310090,2,6,8
SPRWGA9A0110085,134,340,474
SPRWGA9A0110095,28,702,730
SPRWGA9A0110100,210,706,916
SPRWGA9A0110105,4,398,402
SPRWGA9A0119085,72,32,104
SPRWGA9A0119095,14,6,20
SPRWGA9A0119100,74,46,120
SPRWGA9A0119105,546,38,584
SPRWGA9A0119110,166,24,190
SPRWGA9A0199085,30,50,80
SPRWGA9A0199090,208,734,942
SPRWGA9A0199095,2,1218,1220
SPRWGA9A0210090,8,1424,1432
