브랜드,시즌,스타일,스타일명,아이템,아이템명,판매가
CV,F4,CVJPF4T04M,루즈핏 카라 퀼팅 점퍼,JP,점퍼,"99,900"
CV,G2,CVJPG2301M,카라배색 숏 워크자켓,JP,점퍼,"99,900"
CV,G2,CVJPG2302M,미디기장 후드점퍼,JP,점퍼,"99,900"
CV,G2,CVJPG2401M,싱글카라 포켓 점퍼,JP,점퍼,"99,900"
CV,G2,CVJPG2501M,하이넥 홑겹점퍼,JP,점퍼,"79,900"
CV,G4,CVJPG4901M,미디 스트링 점퍼,JP,점퍼,0
CV,G4,CVJPG4902M,캐주얼 하이넥 점퍼,JP,점퍼,0
CV,G4,CVJPG4T01M,카라탈착 퀼팅 숏자켓,JP,점퍼,0
CV,G4,CVJPG4T02M,퀼팅 카라 미디 자켓,JP,점퍼,"129,000"
CV,G4,CVJPG4T03M,하이넥 퀼팅 자켓,JP,점퍼,0
CV,G4,CVJPG4T04M,후드 미디 패딩,JP,점퍼,"129,000"
CV,E2,CVJTE2301M,롱기장 더블 트렌치 코트,JT,점퍼,"159,000"
CV,E2,CVJTE2302M,숏기장 싱글 트렌치 코트,JT,점퍼,"99,900"
CV,E4,CVJTE4901M,벨티드 숏 트렌치 코트,JT,점퍼,"129,000"
CV,F2,CVJTF2301M,미디 트렌치 코트,JT,점퍼,"159,000"
CV,F2,CVJTF2302M,숏 트렌치 코트,JT,점퍼,"129,000"
CV,G2,CVJTG2301Q,숏트렌치 코트,JT,점퍼,"129,000"
CV,F4,CVLWF4911N,[스웻셋업] R넥 스웻셔츠 (SET),LW,니트,"49,900"
CV,F4,CVLWF4912N,[스웻셋업] 코튼 카라 스웻셔츠 (SET),LW,니트,"59,900"
CV,G1,CVLWG1112N,[슬랙스닝] 기모 셋업 상의 (SET),LW,니트,"49,900"
CV,E1,CVOWE1101Q,트위드 정장형 원피스,OW,점퍼,"159,000"
CV,E1,CVOWE1201M,배색장식 트위드형 원피스,OW,점퍼,"129,000"
CV,E1,CVOWE1201Q,격식 정장형 원피스,OW,점퍼,"159,000"
CV,E2,CVOWE2301M,셔츠형 리본 카라 원피스,OW,점퍼,"99,900"
CV,E2,CVOWE2301Q,레이어드 원피스,OW,점퍼,"99,900"
CV,E2,CVOWE2302Q,격식 카라형 원피스,OW,점퍼,"159,000"
CV,E2,CVOWE2401M,7부소매 셔츠형 원피스,OW,점퍼,"99,900"
CV,E2,CVOWE2401Q,벨트 포인트 포멀 원피스,OW,점퍼,"159,000"
CV,E2,CVOWE2402M,변형카라 핀턱 원피스,OW,점퍼,"99,900"
CV,E2,CVOWE2411M,사방스판 오픈카라 원피스,OW,점퍼,"79,900"
CV,E2,CVOWE2501M,꼬임소매 셔츠 플레어 원피스,OW,점퍼,"99,900"
CV,E2,CVOWE2501Q,포켓 트위드 미디 원피스,OW,점퍼,"99,900"
CV,E2,CVOWE2502M,V넥 오픈형 포켓원피스,OW,점퍼,"99,900"
CV,E2,CVOWE2502Q,바스락 셔츠 원피스,OW,점퍼,"99,900"
CV,E2,CVOWE2601Q,포켓 셔츠형 원피스,OW,점퍼,0
CV,E3,CVOWE3701M,반팔셔츠+레이어드원피스 SET,OW,점퍼,"129,000"
CV,E3,CVOWE3701Q,코튼 핀턱 롱원피스,OW,점퍼,"99,900"
CV,E3,CVOWE3702M,셔츠형 플레어 원피스,OW,점퍼,"99,900"
CV,E3,CVOWE3702Q,심플 슬리브리스 원피스,OW,점퍼,"79,900"
CV,E3,CVOWE3703M,반팔셔츠+뷔스티에원피스 SET,OW,점퍼,"129,000"
CV,E3,CVOWE3703Q,포켓 셔츠형 원피스,OW,점퍼,"99,900"
CV,E3,CVOWE3801M,셔츠형 데일리 원피스,OW,점퍼,"99,900"
