단품코드,단품명,정상가,매출랭킹,온라인랭킹,출고율,온라인비중,누판율,주판율,주간외형매출,inv_반응과,inv_공홈,inv_이랜드몰,inv_무신사,inv_지그재그,inv_네이버,inv_카카오선물하기,wh_무신사,wh_지그재그,wh_네이버,ord_공홈,ord_이랜드몰,ord_무신사,ord_지그재그,ord_네이버,ord_카카오선물하기
SPTAG23W0117067,"롱 와이드 슬랙스, (17)Dark Gray, 67",0,9999,9999,0.92,0.7,0.5,0.15,0,0,1,0,-1,-1,2,0,0,0,0,0,0,0,0,0,0
SPTAG23W0117070,"롱 와이드 슬랙스, (17)Dark Gray, 70",0,9999,9999,0.92,0.7,0.5,0.15,0,2,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0
SPTAG23W0117073,"롱 와이드 슬랙스, (17)Dark Gray, 73",39900,5914,5914,0.92,0.7,0.5,0.15,39900,6,0,0,-1,-3,1,0,0,0,0,0,0,0,0,1,0
SPTAG23W0117075,,0,9999,9999,0.92,0.7,0.5,0.15,0,0,0,0,-1,0,2,0,0,0,0,0,0,0,0,0,0
SPTAG23W0117078,,0,9999,9999,0.92,0.7,0.5,0.15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SPTAG23W0119064,,22904,3397,3397,0.92,0.7,0.5,0.15,114520,0,0,1,0,4,17,0,0,0,0,2,0,0,3,0,0
SPTAG23W0119067,,3630,8194,8194,0.92,0.7,0.5,0.15,3630,0,5,0,-1,-4,9,0,0,0,0,1,0,0,0,0,0
SPTAG23W0119070,,17910,4685,4685,0.92,0.7,0.5,0.15,71640,0,7,0,-1,-6,2,0,0,0,0,4,0,0,0,0,0
SPTAG23W0119073,"롱 와이드 슬랙스, (19)Black, 73",0,9999,9999,0.92,0.7,0.5,0.15,0,0,0,0,-1,-13,12,0,0,0,0,0,0,0,0,0,0
SPTAG23W0119075,"롱 와이드 슬랙스, (19)Black, 75",19900,4245,4245,0.92,0.7,0.5,0.15,79600,2,0,1,-2,-4,9,0,0,0,0,0,0,4,0,0,0
