매출랭킹,온라인랭킹,단품코드,단품명,정상가,출고율,누판율,주판율,온라인비중,inv_반응과,inv_공홈,inv_이랜드몰,inv_무신사,inv_지그재그,inv_네이버,inv_카카오선물하기,ord_공홈,ord_이랜드몰,ord_무신사,ord_지그재그,ord_네이버,ord_카카오선물하기,wh_무신사,wh_지그재그,wh_네이버
7824,7824,SPPPG11U1226110,"[망그러진곰] 부앙단과 같이 수면,",49900,0.9921,0.873,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1240090,[망그러진곰] 부앙단과 같이 수면 파,49900,0.9837,0.8008,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1240095,[망그러진곰] 부앙단과 같이 수면 파,49900,0.9905,0.8826,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1240100,[망그러진곰] 부앙단과 같이 수면 파,49900,0.9481,0.812,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1240105,[망그러진곰] 부앙단과 같이 수면 파,49900,1.0087,0.9589,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1240110,[망그러진곰] 부앙단과 같이 수면 파,49900,0.9721,0.8603,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1251090,[망그러진곰] 부앙단과 같이 수면 파,49900,0.9887,0.9011,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1251095,[망그러진곰] 부앙단과 같이 수면 파,49900,0.9858,0.9259,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1251100,[망그러진곰] 부앙단과 같이 수면 파,49900,0.9982,0.9402,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1251105,[망그러진곰] 부앙단과 같이 수면 파,49900,0.9928,0.9408,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1251110,"[망그러진곰] 부앙단과 같이 수면,",49900,0.9909,0.9227,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1259090,[망그러진곰] 부앙단과 같이 수면 파,49900,0.9505,0.8191,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1259095,[망그러진곰] 부앙단과 같이 수면 파,49900,0.9825,0.9025,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1259100,[망그러진곰] 부앙단과 같이 수면 파,49900,0.9832,0.8885,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1259105,[망그러진곰] 부앙단과 같이 수면 파,49900,0.9846,0.8872,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1259110,[망그러진곰] 부앙단과 같이 수면 파,49900,1.008,0.8427,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1351090,[짱구] 못말리는 짱구 수면 파자마,49900,0.9735,0.947,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1351095,[짱구] 못말리는 짱구 수면 파자마,49900,0.9644,0.9763,0.0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
7824,7824,SPPPG11U1351100,[짱구] 못말리는 짱구 수면 파자마,49900,1.0096,0.984,-0.0064,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
